label,precision,recall,f1,support
sudan,1.0,1.0,1.0,2
yugoslavia,1.0,1.0,1.0,7
nyce,1.0,1.0,1.0,1
hungary,1.0,1.0,1.0,3
morocco,1.0,1.0,1.0,3
cocoa,0.9473684210526315,1.0,0.972972972972973,18
oecd,0.9444444444444444,1.0,0.9714285714285714,17
lawson,1.0,0.9047619047619048,0.95,21
coffee,0.9032258064516129,1.0,0.9491525423728814,28
bangladesh,1.0,0.9,0.9473684210526315,10
usa,0.9078884078884079,0.9764614588722194,0.9409272183449651,3866
egypt,1.0,0.8666666666666667,0.9285714285714286,15
south-africa,0.96,0.8888888888888888,0.9230769230769231,27
sri-lanka,1.0,0.8571428571428571,0.9230769230769231,14
india,1.0,0.8421052631578947,0.9142857142857143,19
sumita,1.0,0.8333333333333334,0.9090909090909091,6
ipi,1.0,0.8333333333333334,0.9090909090909091,12
peru,1.0,0.8333333333333334,0.9090909090909091,6
orange,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
grain,0.8951048951048951,0.9078014184397163,0.9014084507042254,141
turkey,1.0,0.8181818181818182,0.9,11
greece,1.0,0.8,0.8888888888888888,5
iran,0.9130434782608695,0.8513513513513513,0.8811188811188811,74
barley,1.0,0.7857142857142857,0.88,14
china,0.92,0.8363636363636363,0.8761904761904762,55
ec,0.9090909090909091,0.8421052631578947,0.8743169398907104,95
tin,0.9090909090909091,0.8333333333333334,0.8695652173913043,12
ecuador,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
acq,0.8046398046398047,0.9203910614525139,0.8586319218241042,716
colombia,0.9230769230769231,0.8,0.8571428571428571,15
jordan,1.0,0.75,0.8571428571428571,4
nigeria,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
icco,0.8181818181818182,0.9,0.8571428571428571,10
wheat,0.821917808219178,0.8955223880597015,0.8571428571428571,67
zimbabwe,1.0,0.75,0.8571428571428571,4
ussr,0.8431372549019608,0.86,0.8514851485148515,50
taiwan,0.8947368421052632,0.8095238095238095,0.85,21
philippines,0.9333333333333333,0.7777777777777778,0.8484848484848485,36
new-zealand,0.9166666666666666,0.7857142857142857,0.8461538461538461,28
